imo,name
9372470,MSC KRYSTAL
9372482,MSC ORIANE
9372585,VERA A
9372860,ELBSPIRIT
9372872,BURGUNDY
9373462,HANSA OSTERBURG
9373474,HANSA AUGSBURG
9374442,CMA CGM PEMBA
9375111,VANTAGE
9375305,KMTC JEBEL ALI
9376012,SEALAND BALBOA
9376048,HANNA
9376050,WILHELM
9377690,CELSIUS NELSON
9378931,PACIFIC BEIJING
9379363,CAPE FAWLEY
9383223,MSC LIDIA
9383261,SEALAND MANZANILLO
9384875,TOKYO TOWER
9384887,KYOTO TOWER
9385013,HYUNDAI OAKLAND
9385245,SKY VICTORIA
9385532,DIANE A
9385611,ARGOLIKOS
9386524,A LA MARINE
9386976,WYBELSUM
9387437,NYK ISABEL
9387463,AS SABRINA
9388352,ONE CONTINUITY
9388388,LIBERTAS H
9388510,ELBCARRIER
9389394,ALS FLORA
9389409,CMA CGM DUTCH HARB
9390240,KOTA NAZIM
9391672,SPIRIT OF SYDNEY
9391787,AS NURIA
9392169,KOTA RESTU
9392559,SPIL CITRA
9392913,ASIATIC QUEST
9393022,MSC SHAY
9393515,GOTEBORG
9393527,UAFL ATHENS
9395159,ONE HAMBURG
9395161,ONE HONG KONG
9395599,CONTSHIP VOW
9395616,CONTSHIP TOP
9396610,ATLANTIC WEST
9396622,ATLANTIC SILVER
9397107,SENDAI TRADER
9397585,ELENI T
9397602,CMA CGM TOPAZ
9397614,IONIKOS
9397913,AMALTHEA
9398216,MSC ANTONIA
9398228,MSC NOA
9398230,WAN HAI 722
9398395,MAERSK AMAZON
9398424,MAERSK ATHABASCA
9398436,MAERSK YUKON
9398462,TIANJIN
9398773,ELBWINTER
9399002,MSC DANIELA
9399014,MSC BEATRICE
9399026,MSC KALINA
9399040,MSC IRENE
9399052,MSC EMANUELA
9399117,X-PRESS HOOGLY
9399193,CMA CGM LIBRA
9399208,CMA CGM LIAO
9399222,CMA CGM TITAN
9399753,AS CASPRIA
9400083,MAIPO
9400136,CELSIUS NAPLES
9400174,FORT DESAIX
9400186,WAN HAI 521
9400198,WAN HAI 523
9400215,NEOKASTRO
9400291,CMA CGM OSAKA
9400813,MARINA VOYAGER
9401075,MELINA
9401099,CMA CGM MOLIERE
9401116,MSC FRANCESCA
9401142,MSC GAIA
9401283,RDO CONCORD
9401661,HANSA SIEGBURG
9401673,HANSA ROTENBURG
9401697,MAERSK VIGO
9402029,MAERSK BATUR
9403619,MOL PROFICIENCY
9403621,BHUDTHI BHUM
9404209,NAVIOS TEMPO
9404649,MSC DANIT
9404651,MSC CAMILLE
9404663,MSC SONIA
9404675,MSC MELATILDE
9404869,OOCL GUANGZHOU
9406611,CMA CGM MUSSET
9406623,CMA CGM NERVAL
9406922,PACIFIC TRADER
9407134,SEASPAN EMERALD
9407885,GSL KITHIRA
9408372,SOFRANA SURVILLE
9409053,ATHENS BRIDGE
9409194,CMA CGM LAMARTINE
9409209,CMA CGM MAUPASSANT
9410272,AS SARA
9410301,CAPITAINE TUPAIA
9410727,CMA CGM ANDROMEDA
9410741,CMA CGM AQUILA
9410753,CMA CGM CALLISTO
9410765,CMA CGM CASSIOPEIA
9410777,CMA CGM CENTAURUS
9410789,CMA CGM COLUMBA
9410791,CMA CGM GEMINI
9410806,CMA CGM LYRA
9411379,MAERSK VARNA
9412488,YERUPAJA
9412531,ELBSKY
9412804,ORIENTAL BRIGHT
9412816,WHITE DRAGON
9412828,BELAWAN
9416006,AL RUMEILA
9416018,OSHAIRIJ
9417244,OOCL SEOUL
9417256,OOCL WASHINGTON
9417268,OOCL LONDON
9418298,SCI CHENNAI
9418377,CMA CGM VERACRUZ
9418640,SPIL CAYA
9419539,SCI MUMBAI
9419656,NYK SILVIA
9424900,ONE MAGNIFICENCE
9424936,ONE MAXIM
9426324,SONGA LIONESS
9429223,MUNKSUND
9429235,TUNADAL
9429261,ELBSUN
9429326,VIVALDI
9430363,SANTA ROSA
9430375,SANTA TERESA
9430387,SANTA URSULA
9430399,SANTA BARBARA
9430765,VIRGO
9430777,VOLANS
9431680,NAVIOS LAPIS
9431692,TANJA
9431719,ALS JUNO
9431757,CMA CGM CAIMEP
9431769,ANDROUSA
9431800,CMA CGM LISBON
9431824,ANL WAIKATO
9432220,VERA RAMBOW
9432232,GERDA
9433054,MAERSK VALPARAISO
9433793,CMA CGM ATTILA
9434905,CMA CGM VITORIA
9434917,CMA CGM MANAUS
9436082,HANSA HOMBURG
9436173,MAERSK VERACRUZ
9436185,MAERSK VICTORIA
9436202,BG RUBY
9436355,CMA CGM TANCREDI
9436367,CMA CGM BIANCA
9436379,CMA CGM SAMSON
