Vessel Name,Predicted ETA,Distance / Time,Course / Speed,Current draught,Navigation Status,Position received,IMO / MMSI,Callsign,Flag,Length / Beam
PACIFIC CAREER,-,-,,20.3 m,-,50 days ago,9807748 / 477232700,VRRK2,Hong Kong,362 / 65 m
,,,,,,,,,,
YUAN ZHEN HAI,,,,23.1 m,-,6 days ago,9532551 / 566587000,9V9120,Singapore,360 / 65 m
PACIFIC WARRIOR,,,,23.0 m,-,4 days ago,9532525 / 477178500,VROZ4,Hong Kong,360 / 65 m
ORE HEBEI,-,-,,11.0 m,Under way,4 hours ago,9532537 / 477510200,VRPG8,Hong Kong,360 / 65 m
ORE CHINA,-,-,,23.0 m,-,49 days ago,9522972 / 477510400,VRPH2,Hong Kong,360 / 65 m
ORE SHANDONG,-,-,16.8° / 1.4 kn,11.6 m,-,9 days ago,9532549 / 477510500,VRPH3,Hong Kong,360 / 65 m
,,,,,,,,,,
YUAN JIAN HAI,,,,23.0 m,-,21 days ago,9532587 / 563254000,9V9122,Singapore,360 / 65 m
ORE DONGJIAKOU,,,,12.5 m,-,5 days ago,9532513 / 477510300,VRPG9,Hong Kong,360 / 65 m
SOHAR MAX,,,,23.0 m,-,5 days ago,9565065 / 538004888,V7ZP8,Marshall Islands,360 / 65 m
LIWA MAX,,,,14.2 m,-,9 days ago,9566514 / 538004889,V7ZP9,Marshall Islands,360 / 65 m
SHINAS MAX,-,-,,23.0 m,-,12 days ago,9566538 / 538004899,V7ZR8,Marshall Islands,360 / 65 m
SAHAM MAX,-,-,,11.7 m,-,8 days ago,9566526 / 538004900,V7ZR9,Marshall Islands,360 / 65 m
,,,,,,,,,,
SEA ESPIRITO SANTO,-,-,,23.0 m,-,7 days ago,9575462 / 538004765,V7YY5,Marshall Islands,361 / 65 m
SEA FUJIYAMA,,,214.3° / 10.6 kn,13.6 m,-,20 hours ago,9575486 / 538004778,V7ZA5,Marshall Islands,361 / 65 m
SEA TUBARAO,,,,11.0 m,-,3 days ago,9575498 / 538004918,V7ZU6,Marshall Islands,361 / 65 m
SEA MARANHAO,-,-,,23.1 m,-,3 days ago,9575515 / 538008959,V7A2951,Marshall Islands,361 / 65 m
SEA QINGDAO,-,-,283.1° / 0.0 kn,23.1 m,-,34 days ago,9575450 / 538004553,V7XR6,Marshall Islands,361 / 65 m
MSC ISTANBUL,-,-,168.1° / 18.8 kn,11.4 m,-,24 days ago,9606326 / 636017537,D5LL2,Liberia,399 / 54 m
MSC AMSTERDAM,-,-,,-,At anchor,2 min ago,9606338 / 373598000,3EUJ,Panama,399 / 54 m
MSC HAMBURG,,,,10.4 m,-,2 days ago,9647461 / 374886000,3FYY8,Panama,399 / 54 m
MSC VENICE,,,,10.4 m,-,17 hours ago,9647473 / 636017408,D5KU2,Liberia,399 / 54 m
CMA CGM JULES VERNE,-,-,,10.9 m,-,11 days ago,9454450 / 229190000,9HA5460,Malta,396 / 54 m
,,,,,,,,,,
ORE SHANTOU,-,-,28.1° / 8.2 kn,21.5 m,-,37 days ago,9847542 / 477591200,VRSZ5,Hong Kong,340 / 62 m
K.IRON MOUNTAIN,-,-,163.4° / 0.0 kn,10.0 m,-,8 days ago,9850111 / 354488000,3EAK7,Panama,340 / 62 m
BOKM SHANGHAI,-,-,,11.4 m,-,10 days ago,9851256 / 636020785,5LAS2,Liberia,340 / 62 m
BOKM GUAIBA,,,,19.1 m,-,7 days ago,9908621 / 636021237,5LCY5,Liberia,340 / 62 m
GRAND WISDOM,,,295.3° / 13.7 kn,13.0 m,-,5 days ago,9850343 / 563118700,9V6605,Singapore,340 / 62 m
BOKM QINGDAO,,,,12.2 m,-,7 days ago,9908580 / 636021240,5LCY8,Liberia,339 / 62 m
